gene	ISV	WSV	pv	pv.BH	pv.Bonf
ACOT13	0.34003230747361	0.65996769252639	0.616806212485866	0.644841269579301	1
ACOT2	0.543471746375575	0.456528253624425	0.000216775409781286	0.000726540873043469	1
ACOT4	0.589370574024445	0.410629425975555	5.82716897903698e-06	2.85735742042252e-05	0.107493786156295
ACOT6	0.385031223661091	0.614968776338909	0.283358901999419	0.330935211470927	1
ACOT7	0.368238317029958	0.631761682970042	0.400609597678747	0.444407074892047	1
ACOT8	0.472993443169266	0.527006556830734	0.0134064545672052	0.0255880876773134	1
ACOT9	0.616210168910226	0.383789831089774	4.76025624620788e-07	2.94179051838515e-06	0.00878124469737968
ACOX1	0.596317829352708	0.403682170647292	3.1376620097141e-06	1.62768422646783e-05	0.0578804510931959
ACOX2	0.408693199721182	0.591306800278818	0.153907564273643	0.197945537067273	1
ACOX3	0.555666125722123	0.444333874277877	8.95643331570216e-05	0.000331233611416916	1
ACOXL	0.381174335078662	0.618825664921338	0.308727661847756	0.355788041363501	1
ACP1	0.514409826348057	0.485590173651943	0.00144568848639851	0.00381798360896109	1
ACP2	0.535698971298022	0.464301028701978	0.000370446887531839	0.00116614910141635	1
ACP5	0.735500856573055	0.264499143426945	7.11230798874937e-14	1.50805454561448e-12	1.3120074546846e-09
ACP6	0.669587592591763	0.330412407408237	1.19736611089344e-09	1.21695937452625e-08	2.20878126476514e-05
ACPL2	0.79059304389745	0.20940695610255	1.22323497840125e-18	5.42428260734804e-17	2.25650156465678e-14
ACPP	0.730846597825446	0.269153402174554	1.57005941613389e-13	3.14813978798064e-12	2.89628860494219e-09
ACPT	0.55249912429922	0.44750087570078	0.00011325826680914	0.000408061571841447	1
ACR	0.398386616080397	0.601613383919603	0.204444437284219	0.251476064184969	1
ACRBP	0.671809974370486	0.328190025629514	9.03247448329857e-10	9.33980138976506e-09	1.66622056793409e-05
ACRC	0.541771985235145	0.458228014764855	0.00024416689798517	0.00080835369115801	1
ACRV1	0.420183241699245	0.579816758300755	0.108421111106422	0.14723529421232	1
ACSBG1	0.456797643528314	0.543202356471686	0.0277442100671759	0.0472835775230223	1
ACSBG2	0.356089350444079	0.643910649555921	0.493231671006471	0.531030640750218	1
ACSF2	0.548303742740183	0.451696257259818	0.00015370048275922	0.000535368732148665	1
ACSF3	0.63524972740708	0.36475027259292	6.62748442290884e-08	4.85290033803252e-07	0.00122257205149399
ACSL1	0.623157688277946	0.376842311722054	2.36416718187835e-07	1.55700792588754e-06	0.00436117920041099
ACSL3	0.485906023124298	0.514093976875702	0.00709274855007969	0.0148596750262856	1
ACSL4	0.592262476250256	0.407737523749744	4.51432478065878e-06	2.2660067817364e-05	0.0832757492288126
ACSL5	0.587309629375908	0.412690370624092	6.97530723447776e-06	3.36137650351127e-05	0.128673492554411
ACSL6	0.647960225256445	0.352039774743555	1.61203684376583e-08	1.31872477414405e-07	0.000297372436569483
ACSM1	0.392276995218797	0.607723004781203	0.238736338000114	0.286623444652659	1
ACSM2A	0.357257619657998	0.642742380342002	0.484187911170563	0.522848117857717	1
ACSM3	0.597492675424833	0.402507324575167	2.82021506482501e-06	1.48175754203438e-05	0.0520245073008269
ACSM5	0.364381105756661	0.635618894243339	0.429571974100073	0.472050646704238	1
ACSS1	0.5607241477683	0.4392758522317	6.10975355835221e-05	0.000235738598391389	1
ACSS2	0.628394585172252	0.371605414827748	1.37457312736886e-07	9.46854013464277e-07	0.00253567504805733
ACSS3	0.408209532073653	0.591790467926347	0.156071246340056	0.200239691280778	1
ACTA1	0.557769209165949	0.442230790834051	7.64829263117355e-05	0.000288818944047612	1
